playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476453,2023,Nikita Kucherov,TBL,R,other,81,6652.0,94.0,116.2,0.55,0.34,0.66,0.26,0.64,0.27,158.0,29.86,8.95,2.08,4.73,0.92,15.98,9.34,8.15,8.95,8.15,11.0,5.0,29.0,13.0,23.0,65.0,28.0,12.0,2.0,0.0,2.0,0.0,10.0,16.0,17.0,30.0,1.0,2.0,2.0,4.0,4.0,5.0,18.0,11.0,13.0,0.73,1.4,6.83,0.0,3.0,9.0,65.0,42.0,42.0,2.0,0.61,0.9,0.01,9.56,9.56,8.67,94.0,25.0,9.0,12.0,48.0,12.0,12.0,33.0,37.0,2.0,2.0,4382.0,2.0,2.0,1.0,2.0,117.99,30.93,27.13,30.93,27.13,119.0,45.0,68.0,232.0,34.0,13.0,3.0,74.0,45.0,45.0,3.12,5.61,22.2,5.0,6.0,23.0,232.0,164.0,164.0,2.63,4.68,4.68,28.87,28.87,26.52,64.04,25.28,24.18,25.28,24.18,57.0,36.0,29.0,122.0,22.0,4.0,1.0,35.0,15.0,43.0,1.39,2.05,21.84,1.0,3.0,18.0,122.0,93.0,93.0,1.18,1.24,1.24,25.23,25.23,24.21,8.32,15.83,50.0,139.0,0.0,0.04,0.0,1.0,0.0,1.0
8476453,2023,Nikita Kucherov,TBL,R,all,81,105310.0,1793.0,134.65,0.62,0.42,0.61,0.45,0.61,0.44,132.0,333.76,34.0,22.64,78.08,11.17,184.82,127.29,32.46,34.15,32.6,62.0,38.0,306.0,152.0,177.0,635.0,144.0,44.0,24.0,3.0,57.0,1.0,165.0,167.0,262.0,414.0,11.0,22.0,2.0,45.0,62.0,96.0,345.0,83.0,30.0,10.67,10.32,13.01,16.0,11.0,17.0,638.4,458.0,460.62,18.0,5.22,7.06,2.12,37.09,37.31,35.84,1793.0,383.0,126.0,262.0,1022.0,225.0,280.0,409.0,879.0,2.0,2.0,188851.0,22.0,44.0,22.0,35.0,1222.05,146.35,136.94,146.7,137.31,1144.0,536.0,618.0,2298.0,174.0,113.0,23.0,1151.0,366.0,163.0,34.84,44.9,66.61,49.0,55.0,70.0,2306.08,1680.0,1685.55,20.93,27.4,27.4,139.89,140.42,135.18,789.82,90.36,86.53,90.75,86.86,779.0,310.0,375.0,1464.0,103.0,86.0,9.0,781.0,189.0,119.0,23.77,23.19,43.39,37.0,31.0,35.0,1464.07,1089.0,1091.54,11.08,18.19,18.19,83.24,83.5,81.64,120.82,165.47,2603.0,3238.0,0.0,0.0,0.0,0.0,0.0,0.0
8476453,2023,Nikita Kucherov,TBL,R,5on5,81,80093.0,1547.0,134.65,0.53,0.48,0.54,0.49,0.54,0.48,167.0,220.12,16.88,14.46,53.72,7.27,118.28,90.38,16.46,17.03,16.6,29.0,17.0,202.0,99.0,124.0,425.0,67.0,21.0,17.0,3.0,37.0,0.0,116.0,110.0,181.0,280.0,7.0,14.0,0.0,40.0,54.0,74.0,236.0,54.0,11.0,7.17,6.77,2.94,13.0,5.0,3.0,428.4,301.0,303.62,16.0,2.98,4.06,1.73,18.12,18.34,18.03,1547.0,248.0,117.0,223.0,959.0,199.0,255.0,317.0,776.0,0.0,0.0,159165.0,14.0,36.0,18.0,33.0,767.17,67.85,64.92,68.2,65.29,709.0,348.0,403.0,1460.0,81.0,67.0,11.0,783.0,211.0,63.0,23.9,26.48,17.47,38.0,32.0,11.0,1468.08,1057.0,1062.55,10.75,14.49,14.49,64.12,64.66,63.26,667.48,60.11,57.46,60.5,57.78,662.0,256.0,337.0,1255.0,76.0,80.0,8.0,687.0,160.0,71.0,20.44,19.41,20.26,34.0,27.0,15.0,1255.07,918.0,920.54,9.22,16.66,16.66,52.65,52.91,52.12,96.39,105.12,2355.0,2471.0,0.65,2.29,25.0,45.0,22.0,37.0
8476453,2023,Nikita Kucherov,TBL,R,4on5,81,49.0,9.0,19.9,1.0,0.18,1.0,0.19,1.0,0.24,63.0,0.82,0.06,0.04,0.26,0.03,0.23,0.38,0.06,0.06,0.06,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.07,0.07,0.07,9.0,1.0,0.0,0.0,8.0,1.0,1.0,2.0,5.0,0.0,0.0,2471.0,0.0,0.0,0.0,0.0,0.82,0.06,0.06,0.06,0.06,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.74,13.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8476453,2023,Nikita Kucherov,TBL,R,5on4,81,18516.0,143.0,135.1,0.91,0.96,0.88,0.91,0.86,0.92,120.0,82.08,7.96,6.0,19.27,2.92,50.01,26.83,7.65,7.96,7.65,22.0,16.0,74.0,39.0,29.0,142.0,49.0,11.0,5.0,0.0,17.0,1.0,39.0,40.0,63.0,102.0,3.0,6.0,0.0,1.0,4.0,17.0,90.0,17.0,6.0,2.72,2.0,3.24,3.0,3.0,5.0,142.0,113.0,113.0,0.0,1.6,2.1,0.38,9.18,9.18,8.9,143.0,109.0,0.0,27.0,7.0,13.0,12.0,57.0,61.0,0.0,0.0,2955.0,6.0,0.0,0.0,0.0,333.8,47.22,44.54,47.22,44.54,314.0,141.0,145.0,600.0,59.0,33.0,9.0,292.0,108.0,55.0,7.73,12.54,26.95,6.0,17.0,36.0,600.0,455.0,455.0,7.5,8.23,8.23,46.49,46.49,45.01,53.24,4.64,4.57,4.64,4.57,55.0,16.0,9.0,80.0,5.0,2.0,0.0,53.0,13.0,5.0,1.73,1.61,1.29,2.0,1.0,2.0,80.0,71.0,71.0,0.61,0.29,0.29,4.96,4.96,4.92,8.05,0.33,86.0,9.0,0.02,0.0,1.0,1.0,1.0,0.0
8478402,2023,Connor McDavid,EDM,C,other,76,5629.0,78.0,114.08,0.59,0.52,0.64,0.37,0.63,0.41,129.0,22.02,5.95,1.53,3.53,0.71,10.69,6.6,5.16,5.95,5.16,9.0,3.0,20.0,9.0,11.0,40.0,15.0,3.0,1.0,0.0,2.0,0.0,10.0,13.0,17.0,26.0,1.0,2.0,10.0,2.0,5.0,5.0,11.0,9.0,9.0,0.6,1.0,4.35,0.0,1.0,2.0,40.0,29.0,29.0,1.0,0.47,0.4,0.45,5.97,5.97,5.18,78.0,17.0,17.0,5.0,39.0,12.0,5.0,23.0,38.0,10.0,15.0,3763.0,2.0,4.0,3.0,2.0,102.0,25.92,23.21,25.92,23.21,92.0,45.0,48.0,185.0,21.0,11.0,1.0,53.0,44.0,40.0,2.37,5.17,18.38,2.0,6.0,13.0,185.0,137.0,137.0,2.48,4.48,4.48,23.93,23.93,22.1,58.24,17.85,15.88,17.85,15.88,60.0,20.0,22.0,102.0,18.0,5.0,0.0,35.0,20.0,25.0,1.32,2.59,13.93,2.0,1.0,15.0,102.0,80.0,80.0,1.11,1.81,1.81,17.14,17.14,15.31,8.59,7.98,67.0,115.0,0.0,0.1,1.0,3.0,0.0,3.0
8478402,2023,Connor McDavid,EDM,C,all,76,97398.0,1620.0,143.47,0.67,0.5,0.64,0.49,0.64,0.48,127.0,260.44,30.56,20.31,54.72,8.83,139.16,100.42,28.78,30.68,28.89,62.0,38.0,263.0,91.0,98.0,452.0,132.0,32.0,32.0,2.0,40.0,0.0,147.0,103.0,231.0,322.0,15.0,30.0,442.0,118.0,68.0,84.0,232.0,87.0,35.0,8.12,10.19,12.25,7.0,17.0,8.0,454.92,354.0,355.16,18.0,4.66,8.48,5.13,30.1,30.16,28.8,1620.0,383.0,153.0,261.0,823.0,209.0,219.0,347.0,845.0,442.0,423.0,179053.0,30.0,78.0,40.0,39.0,1235.28,149.43,140.84,149.99,141.39,1195.0,478.0,569.0,2242.0,167.0,120.0,15.0,1106.0,387.0,180.0,34.79,47.5,67.12,40.0,70.0,57.0,2253.67,1673.0,1681.6,21.74,30.73,30.62,140.54,141.02,135.57,679.9,72.66,69.12,72.66,69.14,682.0,251.0,303.0,1236.0,82.0,67.0,7.0,675.0,176.0,82.0,20.37,21.63,30.66,29.0,25.0,28.0,1229.97,933.0,930.74,9.45,13.41,13.41,68.7,68.94,66.42,138.92,140.36,2753.0,2897.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2023,Connor McDavid,EDM,C,5on5,76,75407.0,1336.0,143.47,0.64,0.55,0.59,0.53,0.6,0.52,145.0,180.02,18.53,13.17,39.73,6.19,93.26,74.12,17.86,18.66,17.97,32.0,21.0,177.0,68.0,64.0,309.0,73.0,20.0,25.0,2.0,26.0,0.0,104.0,70.0,157.0,225.0,10.0,20.0,407.0,110.0,57.0,68.0,166.0,60.0,19.0,5.83,7.22,5.48,4.0,12.0,4.0,311.92,245.0,246.16,17.0,2.74,7.04,3.61,17.67,17.72,17.44,1336.0,272.0,123.0,233.0,708.0,178.0,194.0,269.0,695.0,407.0,379.0,149502.0,20.0,68.0,34.0,36.0,841.11,83.87,80.3,84.43,80.84,816.0,322.0,395.0,1533.0,91.0,80.0,9.0,789.0,263.0,86.0,25.27,33.02,25.57,27.0,50.0,14.0,1544.67,1138.0,1146.6,12.12,19.47,19.36,76.62,77.1,75.32,562.62,47.46,46.0,47.46,46.03,563.0,210.0,271.0,1044.0,57.0,58.0,7.0,584.0,142.0,47.0,17.16,17.4,12.91,25.0,22.0,10.0,1037.97,773.0,770.74,7.5,10.91,10.93,44.03,44.27,43.65,115.96,96.68,2456.0,2192.0,2.38,1.52,46.0,22.0,37.0,17.0
8478402,2023,Connor McDavid,EDM,C,4on5,76,1697.0,87.0,83.36,0.15,0.17,0.2,0.16,0.21,0.18,331.0,2.4,0.27,0.14,0.3,0.07,0.71,1.51,0.27,0.27,0.27,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,2.0,0.0,0.07,0.21,0.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0,0.03,0.0,0.0,0.3,0.3,0.3,87.0,3.0,13.0,6.0,65.0,6.0,13.0,16.0,52.0,6.0,7.0,15119.0,0.0,2.0,1.0,0.0,4.71,0.54,0.54,0.54,0.54,3.0,3.0,1.0,7.0,1.0,0.0,0.0,3.0,2.0,1.0,0.12,0.21,0.22,0.0,1.0,0.0,7.0,6.0,6.0,0.05,0.0,0.0,0.6,0.6,0.6,16.61,3.04,3.0,3.04,3.0,17.0,6.0,5.0,28.0,4.0,1.0,0.0,15.0,3.0,5.0,0.44,0.27,2.33,0.0,1.0,3.0,28.0,23.0,23.0,0.31,0.02,0.0,3.35,3.35,3.31,5.04,24.31,80.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0
8478402,2023,Connor McDavid,EDM,C,5on4,76,14665.0,119.0,134.98,0.93,0.92,0.91,0.85,0.9,0.84,162.0,53.0,5.49,5.3,10.63,1.78,33.15,16.66,5.18,5.49,5.18,21.0,14.0,60.0,13.0,22.0,95.0,42.0,7.0,6.0,0.0,12.0,0.0,31.0,17.0,53.0,66.0,4.0,8.0,19.0,4.0,3.0,10.0,51.0,15.0,7.0,1.47,1.6,2.42,2.0,3.0,2.0,95.0,73.0,73.0,0.0,1.38,1.04,1.07,5.8,5.8,5.52,119.0,91.0,0.0,17.0,11.0,13.0,7.0,39.0,60.0,19.0,12.0,4711.0,8.0,2.0,1.0,1.0,279.4,38.25,35.97,38.25,35.97,276.0,105.0,123.0,504.0,53.0,29.0,5.0,253.0,75.0,53.0,6.57,8.73,22.95,10.0,13.0,30.0,504.0,381.0,381.0,6.95,6.78,6.78,38.42,38.42,36.59,32.55,2.76,2.7,2.76,2.7,31.0,13.0,4.0,48.0,2.0,2.0,0.0,35.0,6.0,3.0,1.11,0.83,0.82,2.0,0.0,0.0,48.0,44.0,44.0,0.36,0.42,0.42,2.69,2.69,2.68,6.85,0.61,113.0,20.0,0.01,0.01,1.0,1.0,1.0,1.0
